time,price
2024-11-30 05:00:00,80522.5665
2024-11-30 05:00:02,80538.2023
2024-11-30 05:00:04,80552.6047
2024-11-30 05:00:06,80547.4915
2024-11-30 05:00:08,80544.7685
2024-11-30 05:00:10,80525.6174
2024-11-30 05:00:12,80540.0951
2024-11-30 05:00:14,80522.5744
2024-11-30 05:00:16,80511.4411
2024-11-30 05:00:18,80529.6828
2024-11-30 05:00:20,80539.9897
2024-11-30 05:00:22,80523.9785
2024-11-30 05:00:24,80505.9967
2024-11-30 05:00:26,80498.7314
2024-11-30 05:00:28,80493.4255
2024-11-30 05:00:30,80504.4006
2024-11-30 05:00:32,80512.2864
2024-11-30 05:00:34,80514.9493
2024-11-30 05:00:36,80515.3179
2024-11-30 05:00:38,80535.7718
2024-11-30 05:00:40,80511.1832
2024-11-30 05:00:42,80533.5563
2024-11-30 05:00:44,80526.8908
2024-11-30 05:00:46,80543.1922
2024-11-30 05:00:48,80550.0445
2024-11-30 05:00:50,80538.7574
2024-11-30 05:00:52,80531.1042
2024-11-30 05:00:54,80517.5307
2024-11-30 05:00:56,80497.0629
2024-11-30 05:00:58,80496.1082
2024-11-30 05:01:00,80505.5881
2024-11-30 05:01:02,80506.2924
2024-11-30 05:01:04,80502.087
2024-11-30 05:01:06,80516.5523
2024-11-30 05:01:08,80528.0719
2024-11-30 05:01:10,80528.9005
2024-11-30 05:01:12,80534.6492
2024-11-30 05:01:14,80547.2468
2024-11-30 05:01:16,80543.3826
2024-11-30 05:01:18,80572.6741
2024-11-30 05:01:20,80558.6568
2024-11-30 05:01:22,80571.4816
2024-11-30 05:01:24,80568.0298
2024-11-30 05:01:26,80573.9277
2024-11-30 05:01:28,80572.5005
2024-11-30 05:01:30,80569.5312
2024-11-30 05:01:32,80551.319
2024-11-30 05:01:34,80548.7914
2024-11-30 05:01:36,80552.3211
2024-11-30 05:01:38,80564.307
2024-11-30 05:01:40,80583.2211
2024-11-30 05:01:42,80586.227
2024-11-30 05:01:44,80602.1406
2024-11-30 05:01:46,80580.7974
2024-11-30 05:01:48,80579.3557
2024-11-30 05:01:50,80581.606
2024-11-30 05:01:52,80585.3354
2024-11-30 05:01:54,80591.3029
2024-11-30 05:01:56,80599.4773
2024-11-30 05:01:58,80621.2392
2024-11-30 05:02:00,80634.8336
2024-11-30 05:02:02,80630.8149
2024-11-30 05:02:04,80626.6205
2024-11-30 05:02:06,80628.9524
2024-11-30 05:02:08,80632.7263
2024-11-30 05:02:10,80635.9784
2024-11-30 05:02:12,80640.8504
2024-11-30 05:02:14,80650.2794
2024-11-30 05:02:16,80648.7667
2024-11-30 05:02:18,80645.4564
2024-11-30 05:02:20,80653.9572
2024-11-30 05:02:22,80644.3237
2024-11-30 05:02:24,80668.6699
2024-11-30 05:02:26,80688.7623
2024-11-30 05:02:28,80665.0553
2024-11-30 05:02:30,80688.4711
2024-11-30 05:02:32,80686.5351
2024-11-30 05:02:34,80698.9589
2024-11-30 05:02:36,80687.5029
2024-11-30 05:02:38,80673.6781
2024-11-30 05:02:40,80665.7501
2024-11-30 05:02:42,80687.8944
2024-11-30 05:02:44,80694.6164
2024-11-30 05:02:46,80693.3978
2024-11-30 05:02:48,80699.4414
2024-11-30 05:02:50,80718.9849
2024-11-30 05:02:52,80738.4223
2024-11-30 05:02:54,80715.3047
2024-11-30 05:02:56,80705.5785
2024-11-30 05:02:58,80697.9901
2024-11-30 05:03:00,80723.5268
2024-11-30 05:03:02,80717.6064
